iter	Passed	Remaining
183	279	1237
184	279	1232
185	280	1226
186	280	1220
187	281	1214
188	281	1209
189	282	1204
190	283	1198
191	283	1193
192	284	1188
193	284	1183
194	285	1177
195	285	1172
196	286	1167
197	286	1162
198	287	1157
199	288	1154
200	289	1149
201	289	1144
202	290	1139
203	290	1134
204	291	1129
205	291	1124
206	292	1120
207	293	1116
208	293	1111
209	294	1107
210	294	1102
211	295	1097
212	295	1093
213	296	1088
214	296	1084
215	297	1080
216	298	1077
217	299	1073
218	299	1068
219	300	1064
220	300	1059
221	301	1055
222	301	1051
223	302	1047
224	303	1043
225	303	1040
226	304	1036
227	304	1031
228	305	1027
229	305	1023
230	306	1019
231	306	1015
232	307	1012
233	308	1009
234	308	1005
235	309	1002
236	310	998
237	310	994
238	311	990
239	311	986
240	312	982
241	312	979
242	313	977
243	314	973
244	314	969
245	315	966
246	315	962
247	316	959
248	316	955
249	317	952
250	318	950
251	319	947
252	319	943
253	320	940
254	320	937
255	321	933
256	321	930
257	322	927
258	323	924
259	323	921
260	324	918
261	324	915
262	325	912
263	325	908
264	326	905
265	327	903
266	328	902
267	329	899
268	329	896
269	330	893
270	330	890
271	331	887
272	332	884
273	333	882
274	333	879
275	334	876
276	334	873
277	335	871
278	335	868
279	336	865
280	337	862
281	338	862
282	339	859
283	339	856
284	340	854
285	341	851
286	341	848
287	342	846
288	343	844
289	343	841
290	344	839
291	344	836
292	345	833
293	346	831
294	347	829
295	348	829
296	349	827
297	350	824
298	350	822
299	351	819
300	352	817
301	352	815
302	353	813
303	354	811
304	355	809
305	355	806
306	356	804
307	357	802
308	357	800
309	358	797
310	358	795
311	359	792
312	360	790
313	360	787
314	361	785
315	361	783
316	362	780
317	362	778
318	363	775
319	363	773
320	364	770
321	365	768
322	365	766
323	366	764
324	367	762
325	367	760
326	368	757
327	368	755
328	369	753
329	370	752
330	371	750
331	371	748
332	372	746
333	373	744
334	374	742
335	374	740
336	375	738
337	375	736
338	376	734
339	377	732
340	377	729
341	378	727
342	378	725
343	379	723
344	379	721
345	380	719
346	380	716
347	381	714
348	382	712
349	382	710
350	383	708
351	383	706
352	384	704
353	384	702
354	385	700
355	386	698
356	386	696
357	387	694
358	387	692
359	388	690
360	389	688
361	389	686
362	390	684
363	390	682
364	391	680
365	391	679
366	392	677
367	393	675
368	393	673
369	394	671
370	394	669
371	395	667
372	395	665
373	396	663
374	397	661
375	397	660
376	398	658
377	398	656
378	399	654
379	399	652
380	400	650
381	401	648
382	401	647
383	402	645
384	402	643
385	403	641
386	404	640
387	404	638
388	405	636
389	405	634
390	406	633
391	407	631
392	407	629
393	408	627
394	408	625
395	409	624
396	409	622
397	410	620
398	410	618
399	411	617
400	412	615
401	412	614
402	413	612
403	414	610
404	414	609
405	415	607
406	415	605
407	416	604
408	416	602
409	417	600
410	418	599
411	418	597
412	419	595
413	419	594
414	420	592
415	421	591
416	421	589
417	422	587
418	422	586
419	423	584
420	423	582
421	424	581
422	424	579
423	425	577
424	426	576
425	426	575
426	427	573
427	427	571
428	428	570
429	428	568
430	429	566
431	430	565
432	430	563
433	431	562
434	431	561
435	432	559
436	433	557
437	433	556
438	434	554
439	434	553
440	435	551
441	436	550
442	436	549
443	437	547
444	437	546
445	438	544
446	439	543
447	439	541
448	440	540
449	440	538
450	441	537
451	442	536
452	442	534
453	443	533
454	443	531
455	444	530
456	445	528
457	445	527
458	446	526
459	446	524
460	447	523
461	448	521
462	448	520
463	449	518
464	449	517
465	450	515
466	450	514
467	451	513
468	452	511
469	452	510
470	453	508
471	453	507
472	454	506
473	454	504
474	455	503
475	456	502
476	456	500
477	457	499
478	457	498
479	458	496
480	459	495
481	459	493
482	460	492
483	460	491
484	461	489
485	461	488
486	462	487
487	463	485
488	463	484
489	464	483
490	464	481
491	465	480
